Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Main,binder,Swamp,ECL,Lorwyn Eclipsed,271,normal,common,1,110305,1dd4d605-02a2-4183-b191-0bca8dfbf962,0.17,false,false,near_mint,en,USD,2026-04-26T05:34:54.344Z
Main,binder,Luminollusk,ECL,Lorwyn Eclipsed,179,normal,uncommon,1,110729,3d591e66-4bf9-47e7-bcef-57769ec3edc6,0.12,false,false,near_mint,en,USD,2026-04-26T05:34:54.345Z
Main,binder,Figure of Fable,ECL,Lorwyn Eclipsed,224,normal,rare,1,108967,e0ef33dd-5f6d-48fa-8ef6-a8092868d50f,0.31,false,false,near_mint,en,USD,2026-04-26T05:34:54.346Z
Main,binder,Sourbread Auntie,ECL,Lorwyn Eclipsed,158,normal,uncommon,1,110471,32fd226f-d1c6-432c-b846-9482f1944363,0.26,false,false,near_mint,en,USD,2026-04-26T05:34:54.347Z
Main,binder,Gathering Stone,ECL,Lorwyn Eclipsed,257,normal,uncommon,1,110547,81dfbfe1-143a-4637-b683-a34cfc51993d,0.6,false,false,near_mint,en,USD,2026-04-26T05:34:54.348Z
Main,binder,Wary Farmer,ECL,Lorwyn Eclipsed,251,normal,common,2,110457,22d20c0d-176d-49c9-aa0b-2c5778548cc5,0.06,false,false,near_mint,en,USD,2026-04-26T05:34:54.350Z
Main,binder,Dose of Dawnglow,ECL,Lorwyn Eclipsed,100,normal,uncommon,1,110278,47414323-ca30-45b7-a0b2-6668312bee04,0.16,false,false,near_mint,en,USD,2026-04-26T05:34:54.351Z
Main,binder,Great Forest Druid,ECL,Lorwyn Eclipsed,178,normal,common,1,110554,8793a19e-6743-4031-86d9-2ff55f384549,0.23,false,false,near_mint,en,USD,2026-04-26T05:34:54.352Z
Main,binder,Silvergill Peddler,ECL,Lorwyn Eclipsed,70,normal,common,1,110669,feba2bb6-6005-4ade-a4c5-97bbd54b43a3,0.09,false,false,near_mint,en,USD,2026-04-26T05:34:54.353Z
Main,binder,Goldmeadow Nomad,ECL,Lorwyn Eclipsed,18,normal,common,1,110672,00ddbe6c-11de-4bc6-aabe-d6d8385a838a,0.12,false,false,near_mint,en,USD,2026-04-26T05:34:54.354Z
Main,binder,Bile-Vial Boggart,ECL,Lorwyn Eclipsed,87,normal,common,1,110463,2c0fcf98-1f3c-4cff-9234-7f3d0c8b22e9,0.21,false,false,near_mint,en,USD,2026-04-26T05:34:54.355Z
Main,binder,Feed the Flames,ECL,Lorwyn Eclipsed,137,normal,common,1,110753,59740755-c353-4b6c-a84c-3b76133ce3ec,0.08,false,false,near_mint,en,USD,2026-04-26T05:34:54.356Z
Main,binder,Blighted Blackthorn,ECL,Lorwyn Eclipsed,90,foil,common,1,110719,3515531a-45d6-4fe0-96a3-7ca1ce545068,0.13,false,false,near_mint,en,USD,2026-04-26T05:34:54.357Z
Main,binder,Mountain,ECL,Lorwyn Eclipsed,272,normal,common,1,110313,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4,0.15,false,false,near_mint,en,USD,2026-04-26T05:34:54.358Z
Main,binder,Appeal to Eirdu,ECL,Lorwyn Eclipsed,5,foil,common,2,110356,68ce9752-21f9-48e9-bf48-7f76f1cecbc5,0.06,false,false,near_mint,en,USD,2026-04-26T05:34:54.359Z
Main,binder,Forest,ECL,Lorwyn Eclipsed,273,normal,common,10,110396,b460f5f7-c7c9-400c-8419-23d614f45bf9,0.15,false,false,near_mint,en,USD,2026-04-26T05:34:54.360Z
Main,binder,Flaring Cinder,ECL,Lorwyn Eclipsed,225,normal,common,3,110675,0691a1a9-18e7-44b7-9a34-764b1ab45a76,0.04,false,false,near_mint,en,USD,2026-04-26T05:34:54.341Z
Main,binder,Collective Inferno,ECL,Lorwyn Eclipsed,132,normal,rare,1,110451,1ec084cc-997d-4079-b445-8f701ec3c277,1.29,false,false,near_mint,en,USD,2026-04-26T05:39:19.470Z
Main,binder,Flamebraider,ECL,Lorwyn Eclipsed,139,normal,uncommon,1,110604,b8aa428c-5a77-444f-b75e-a113e46fe4e0,0.17,false,false,near_mint,en,USD,2026-04-26T05:39:19.471Z
Main,binder,End-Blaze Epiphany,ECL,Lorwyn Eclipsed,134,foil,rare,1,110684,0f0a90ae-b3b3-4f52-8997-eac514b29e57,0.24,false,false,near_mint,en,USD,2026-04-26T05:39:19.472Z
Main,binder,Retched Wretch,ECL,Lorwyn Eclipsed,117,normal,uncommon,1,110838,c7a4d7f1-976a-4a28-97a9-ff089a241c9d,0.08,false,false,near_mint,en,USD,2026-04-26T05:39:19.473Z
Main,binder,Lys Alana Dignitary,ECL,Lorwyn Eclipsed,180,normal,uncommon,1,110793,94e8d6a9-7aa3-4e93-8e4d-e50da7ff09d2,0.23,false,false,near_mint,en,USD,2026-04-26T05:39:19.474Z
Main,binder,Lofty Dreams,ECL,Lorwyn Eclipsed,58,normal,uncommon,1,110803,a2908ed1-517e-4f1a-94e5-b06fb033c1a6,0.05,false,false,near_mint,en,USD,2026-04-26T05:39:19.475Z
Main,binder,Cinder Strike,ECL,Lorwyn Eclipsed,131,normal,common,3,110767,6fb6faa4-236c-4cae-9140-0981c44d2392,0.15,false,false,near_mint,en,USD,2026-04-26T05:39:19.477Z
Main,binder,Surly Farrier,ECL,Lorwyn Eclipsed,196,normal,common,3,110431,056f7f51-18a9-4d80-8928-decaf4d12c0d,0.06,false,false,near_mint,en,USD,2026-04-26T05:39:19.478Z
Main,binder,Flamekin Gildweaver,ECL,Lorwyn Eclipsed,140,normal,common,4,110821,b1628ece-a028-49d4-9065-ee997838c20a,0.07,false,false,near_mint,en,USD,2026-04-26T05:39:19.480Z
Main,binder,Bloodline Bidding,ECL,Lorwyn Eclipsed,91,normal,rare,1,110553,877d9b75-ad2f-45a6-94d8-68e80d7db789,1.62,false,false,near_mint,en,USD,2026-04-26T05:39:19.481Z
Main,binder,Stratosoarer,ECL,Lorwyn Eclipsed,72,normal,common,3,110746,4f607889-6f3f-4511-8920-88a39f3b28ca,0.04,false,false,near_mint,en,USD,2026-04-26T05:39:19.482Z
Main,binder,Dawnhand Eulogist,ECL,Lorwyn Eclipsed,99,normal,common,3,110536,75a97f69-f3dc-4d33-8008-c1f1a7c15a2f,0.14,false,false,near_mint,en,USD,2026-04-26T05:39:19.483Z
Main,binder,Rimefire Torque,ECL,Lorwyn Eclipsed,65,normal,rare,1,110747,4f8931b2-ff3f-4167-8a40-f33460c2d27e,0.24,false,false,near_mint,en,USD,2026-04-26T05:39:19.484Z
Main,binder,Kindle the Inner Flame,ECL,Lorwyn Eclipsed,147,normal,uncommon,1,110796,9a2adcea-f6b1-4611-b8b8-f19fdee2c571,0.19,false,false,near_mint,en,USD,2026-04-26T05:39:19.485Z
Main,binder,Rimekin Recluse,ECL,Lorwyn Eclipsed,66,normal,uncommon,1,110827,ba6b5368-3262-4002-bf1e-fce62f7f7901,0.16,false,false,near_mint,en,USD,2026-04-26T05:39:19.486Z
Main,binder,Vinebred Brawler,ECL,Lorwyn Eclipsed,201,normal,uncommon,1,110353,63c573fe-e74c-48ca-ad05-92f37dc466f1,0.17,false,false,near_mint,en,USD,2026-04-26T05:39:19.487Z
Main,binder,Spiral into Solitude,ECL,Lorwyn Eclipsed,36,normal,common,1,110858,e7a12664-a930-4159-8311-19862488fb05,0.11,false,false,near_mint,en,USD,2026-04-26T05:39:19.488Z
Main,binder,Fire Nation Cadets,TLA,Avatar: The Last Airbender,134,foil,common,1,109388,1a3a862c-9c9a-41cd-94d1-2d0cff22a6cd,0.16,false,false,near_mint,en,USD,2026-04-26T05:50:31.811Z
Main,binder,Sandbender Scavengers,TLA,Avatar: The Last Airbender,239,normal,rare,1,109922,9bfe0f7c-6dac-41d4-a013-109445158a5e,0.3,false,false,near_mint,en,USD,2026-04-26T05:50:31.819Z
Main,binder,Sun Warriors,TLA,Avatar: The Last Airbender,244,foil,uncommon,1,109567,e477d750-42d2-48c8-bc1f-8148d15d5f53,0.3,false,false,near_mint,en,USD,2026-04-26T05:50:31.826Z
Main,binder,Dai Li Agents,TLA,Avatar: The Last Airbender,214,normal,uncommon,1,109502,9ddb8715-341b-400a-b6eb-f3f90518157c,0.15,false,false,near_mint,en,USD,2026-04-26T05:50:31.828Z
Main,binder,Wandering Musicians,TLA,Avatar: The Last Airbender,250,foil,common,1,109916,3da81dbd-dc80-47ff-a33b-270d23a24e0a,0.16,false,false,near_mint,en,USD,2026-04-26T05:50:31.833Z
Main,binder,The Earth King,TLA,Avatar: The Last Airbender,172,normal,rare,2,109765,a8d5dca6-381a-4361-b265-27de8d04335c,0.67,false,false,near_mint,en,USD,2026-04-26T05:50:31.834Z
Main,binder,"Momo, Friendly Flier",TLA,Avatar: The Last Airbender,394,foil,rare,3,109505,a7b91b5f-815c-4bdc-97e4-dc7bc8ed29c0,0.39,false,false,near_mint,en,USD,2026-04-26T05:50:31.856Z
Main,binder,Tiger-Dillo,TLA,Avatar: The Last Airbender,155,normal,uncommon,1,109369,067bd117-04e6-410e-89c4-6d431d627751,0.14,false,false,near_mint,en,USD,2026-04-26T05:50:31.869Z
Main,binder,South Pole Voyager,TLA,Avatar: The Last Airbender,35,normal,rare,1,109696,4b5ad895-be8d-476b-91ca-22fad7a3cc58,0.3,false,false,near_mint,en,USD,2026-04-26T05:50:31.870Z
Main,binder,Firebending Student,TLA,Avatar: The Last Airbender,139,normal,rare,1,109416,3b366f59-16fe-43cb-888d-1f93ef8fd332,0.52,false,false,near_mint,en,USD,2026-04-26T05:50:31.874Z
Main,binder,Champions of the Shoal,ECL,Lorwyn Eclipsed,46,normal,rare,1,110853,e1acdd9c-4a6d-4373-950c-f5539b54679f,0.23,false,false,near_mint,en,USD,2026-04-26T05:50:31.879Z
Main,binder,Personify,ECL,Lorwyn Eclipsed,28,normal,uncommon,1,110299,1172582d-fb2d-4022-95b1-e48b03df3a95,0.27,false,false,near_mint,en,USD,2026-04-26T05:50:31.880Z
Main,binder,Illusion Spinners,ECL,Lorwyn Eclipsed,55,normal,uncommon,1,110862,eb4229a9-8df4-4adc-9d3e-acd2221fa3e9,0.08,false,false,near_mint,en,USD,2026-04-26T05:50:31.881Z
Main,binder,Sting-Slinger,ECL,Lorwyn Eclipsed,161,normal,uncommon,1,110722,386c5f73-fb8f-46c8-ad45-56e2c19b7d1f,0.12,false,false,near_mint,en,USD,2026-04-26T05:50:31.882Z
Main,binder,Mistmeadow Council,ECL,Lorwyn Eclipsed,183,normal,common,2,110845,d4a7c9bc-81c8-4c31-96a9-eb6ba7715e7f,0.03,false,false,near_mint,en,USD,2026-04-26T05:50:31.883Z
Main,binder,Gangly Stompling,ECL,Lorwyn Eclipsed,226,normal,common,1,110497,502000a7-a3c1-4259-aea5-ff01724396a1,0.21,false,false,near_mint,en,USD,2026-04-26T05:50:31.884Z
Main,binder,Dream Seizer,ECL,Lorwyn Eclipsed,101,normal,common,2,110321,3573f425-9251-4c17-9619-15278ce5d8fb,0.11,false,false,near_mint,en,USD,2026-04-26T05:50:31.885Z
Main,binder,Brambleback Brute,ECL,Lorwyn Eclipsed,128,normal,common,2,110754,5ebb8365-c6e1-46e8-a242-6aa27b21e68a,0.07,false,false,near_mint,en,USD,2026-04-26T05:50:31.886Z
Main,binder,Assert Perfection,ECL,Lorwyn Eclipsed,164,normal,common,2,110522,6995b308-5582-4ca1-ab10-a536d5ca0a6d,0.12,false,false,near_mint,en,USD,2026-04-26T05:50:31.887Z
Main,binder,Sun-Dappled Celebrant,ECL,Lorwyn Eclipsed,37,normal,common,2,110376,91c715a5-6643-4064-a8a8-3e05dce15979,0.05,false,false,near_mint,en,USD,2026-04-26T05:50:31.888Z
Main,binder,Aquitect's Defenses,ECL,Lorwyn Eclipsed,44,foil,common,1,110799,9af9a907-fd2e-4ae0-ac7b-529074b79a14,0.18,false,false,near_mint,en,USD,2026-04-26T05:50:31.889Z
Main,binder,Glamermite,ECL,Lorwyn Eclipsed,50,normal,common,2,110825,b8b7c23a-0034-453c-ab44-f6ec0f31d1eb,0.13,false,false,near_mint,en,USD,2026-04-26T05:50:31.890Z
Main,binder,Adept Watershaper,ECL,Lorwyn Eclipsed,3,normal,rare,1,110766,6e53f246-8347-4632-9d5b-4aeb12f7b762,0.55,false,false,near_mint,en,USD,2026-04-26T05:50:31.892Z
Main,binder,Airship Engine Room,TLA,Avatar: The Last Airbender,265,foil,common,1,109375,0b98ba34-f251-4bd0-9d75-1d4445be5cfd,0.26,false,false,near_mint,en,USD,2026-04-26T06:01:58.217Z
Main,binder,Forest,TLA,Avatar: The Last Airbender,286,foil,common,2,108256,a305e44f-4253-4754-b83f-1e34103d77b0,0.15,false,false,near_mint,en,USD,2026-04-26T06:01:58.216Z
Main,binder,Swamp,TLA,Avatar: The Last Airbender,289,foil,common,3,108128,874f0f27-81a4-4853-aaa0-2c15e07c177e,0.36,false,false,near_mint,en,USD,2026-04-26T06:11:20.213Z
Main,binder,Mountain,TLA,Avatar: The Last Airbender,290,foil,common,2,108141,ea96ecc4-72f3-46a4-8900-6a7c5a83d4df,0.55,false,false,near_mint,en,USD,2026-04-26T06:11:20.215Z
Main,binder,Forest,TLA,Avatar: The Last Airbender,291,foil,common,2,108103,05683891-cdd4-4401-b7d5-0ef17e79c699,0.47,false,false,near_mint,en,USD,2026-04-26T06:11:20.216Z
Main,binder,Island,TLA,Avatar: The Last Airbender,283,foil,common,6,108255,a2e22347-f0cb-4cfd-88a3-4f46a16e4946,0.22,false,false,near_mint,en,USD,2026-04-26T06:11:20.209Z
Main,binder,Swamp,TLA,Avatar: The Last Airbender,284,foil,common,6,108302,f0b234d8-d6bb-48ec-8a4d-d8a570a69c62,0.23,false,false,near_mint,en,USD,2026-04-26T06:11:20.218Z
Main,binder,Mountain,TLA,Avatar: The Last Airbender,285,foil,common,7,108275,c44f81ca-f72f-445c-8901-3a894a2a47f9,0.28,false,false,near_mint,en,USD,2026-04-26T06:11:20.221Z
Main,binder,Seismic Sense,TLA,Avatar: The Last Airbender,195,normal,uncommon,1,109506,a7b93c2a-c478-4734-8aca-03f3e9c11b20,0.23,false,false,near_mint,en,USD,2026-04-26T06:15:09.293Z
Main,binder,Bender's Waterskin,TLA,Avatar: The Last Airbender,255,foil,common,1,108223,6d4a1712-d19e-4475-9614-a0b1af4da610,5.19,false,false,near_mint,en,USD,2026-04-26T06:15:09.295Z
Main,binder,Crashing Wave,TLA,Avatar: The Last Airbender,47,normal,uncommon,1,109754,9fd02eb4-1ef5-4a14-89a8-b25e720e8016,0.17,false,false,near_mint,en,USD,2026-04-26T06:15:09.300Z
Main,binder,Forest,TLA,Avatar: The Last Airbender,291,normal,common,3,108103,05683891-cdd4-4401-b7d5-0ef17e79c699,0.32,false,false,near_mint,en,USD,2026-04-26T06:15:09.326Z
Main,binder,Liminal Hold,ECL,Lorwyn Eclipsed,24,foil,common,1,110583,a5a40c16-7a5c-4ad1-be53-6b1b1be2affe,0.05,false,false,near_mint,en,USD,2026-04-26T18:05:45.761Z
Main,binder,Island,ECL,Lorwyn Eclipsed,270,foil,common,1,110392,b0da67fb-1cb2-4105-ab5c-b7c680b8116c,0.24,false,false,near_mint,en,USD,2026-04-26T18:05:45.762Z
Main,binder,Aquitect's Defenses,ECL,Lorwyn Eclipsed,44,normal,common,2,110799,9af9a907-fd2e-4ae0-ac7b-529074b79a14,0.15,false,false,near_mint,en,USD,2026-04-26T18:05:45.763Z
Main,binder,Shore Lurker,ECL,Lorwyn Eclipsed,34,normal,common,2,110605,bb353c27-e311-4677-9277-cab6820562ce,0.04,false,false,near_mint,en,USD,2026-04-26T18:05:45.764Z
Main,binder,Evolving Wilds,ECL,Lorwyn Eclipsed,264,normal,common,3,110560,8c632984-5176-4c37-91df-6577cc294b85,0.22,false,false,near_mint,en,USD,2026-04-26T18:05:45.765Z
Main,binder,Gilt-Leaf's Embrace,ECL,Lorwyn Eclipsed,177,normal,common,2,110769,739e5ab5-d562-407a-906e-c5c5173ad325,0.18,false,false,near_mint,en,USD,2026-04-26T18:05:45.766Z
Main,binder,Tweeze,ECL,Lorwyn Eclipsed,162,normal,common,2,110483,3ceab0e6-1bb8-487d-ab4b-2da8457b970a,0.04,false,false,near_mint,en,USD,2026-04-26T18:05:45.767Z
Main,binder,Chaos Spewer,ECL,Lorwyn Eclipsed,210,normal,common,3,110599,b5918fa5-1d13-447b-8838-633b6b61e791,0.13,false,false,near_mint,en,USD,2026-04-26T18:05:45.769Z
Main,binder,"Doran, Besieged by Time",ECL,Lorwyn Eclipsed,215,normal,rare,1,110504,568aa70a-6765-486a-bd37-5d38b16c46de,0.76,false,false,near_mint,en,USD,2026-04-26T18:05:45.773Z
Main,binder,Scarblade Scout,ECL,Lorwyn Eclipsed,118,normal,common,2,110833,c2412fea-4591-4345-913f-edc2da9ad975,0.15,false,false,near_mint,en,USD,2026-04-26T18:05:58.099Z
Main,binder,"Barret, Avalanche Leader",FIC,Final Fantasy Commander,79,normal,rare,1,105874,2e37fd36-84f0-4869-bfae-da4b97c9725d,0.18,false,false,near_mint,en,USD,2026-04-26T21:46:09.759Z
Main,binder,Furious Rise,FIC,Final Fantasy Commander,294,normal,uncommon,1,106104,a886ed1a-d6a4-46d2-8b97-ee4a533773fb,0.16,false,false,near_mint,en,USD,2026-04-26T22:04:33.060Z
Main,binder,Champion of the Clachan,ECL,Lorwyn Eclipsed,9,foil,rare,1,110334,46ce3474-381c-433b-acd8-4e628d0048d2,0.29,false,false,near_mint,en,USD,2026-04-26T23:48:05.980Z
Main,binder,Island,ECL,Lorwyn Eclipsed,275,normal,common,1,110300,12ebd9c8-6587-456e-aba9-7aad1c2a09ea,0.24,false,false,near_mint,en,USD,2026-04-26T23:48:05.981Z
Main,binder,Wanderwine Distracter,ECL,Lorwyn Eclipsed,82,normal,common,2,110624,cbf593a7-d4ae-4771-926a-3c1b2c8c901a,0.04,false,false,near_mint,en,USD,2026-04-26T23:48:05.982Z
Main,binder,Liminal Hold,ECL,Lorwyn Eclipsed,24,normal,common,2,110583,a5a40c16-7a5c-4ad1-be53-6b1b1be2affe,0.04,false,false,near_mint,en,USD,2026-04-26T23:48:05.983Z
Main,binder,Dawn's Light Archer,ECL,Lorwyn Eclipsed,174,normal,common,2,110771,76e80656-6bcb-4d99-8bd2-ca5f75f40daf,0.21,false,false,near_mint,en,USD,2026-04-26T23:48:05.984Z
Main,binder,Burning Curiosity,ECL,Lorwyn Eclipsed,129,normal,common,2,110521,689ed288-6228-4d7e-b198-56a12b8be299,0.16,false,false,near_mint,en,USD,2026-04-26T23:48:05.985Z
Main,binder,Scarblade's Malice,ECL,Lorwyn Eclipsed,119,normal,common,2,110815,aea9b5c0-3b32-44be-9773-566b9daafa6b,0.17,false,false,near_mint,en,USD,2026-04-26T23:48:05.986Z
Main,binder,Blossombind,ECL,Lorwyn Eclipsed,45,normal,common,2,110479,382b83c0-bbbc-4db8-bc04-cfea79aed1b3,0.15,false,false,near_mint,en,USD,2026-04-26T23:48:05.987Z
Main,binder,Moonglove Extractor,ECL,Lorwyn Eclipsed,109,normal,common,3,110369,8383e0ab-81b4-4a6b-b87b-dd9180dca1c2,0.12,false,false,near_mint,en,USD,2026-04-26T23:48:05.989Z
Main,binder,Boulder Dash,ECL,Lorwyn Eclipsed,127,normal,uncommon,1,110759,657a2a24-22d1-4bc2-9f22-ed361ae487e3,0.17,false,false,near_mint,en,USD,2026-04-26T23:48:05.990Z
Main,binder,Prismatic Undercurrents,ECL,Lorwyn Eclipsed,189,normal,uncommon,1,110828,bb7490f2-1425-495f-b7d4-2f1e0df7490e,0.27,false,false,near_mint,en,USD,2026-04-26T23:48:05.991Z
Main,binder,Kinsbaile Aspirant,ECL,Lorwyn Eclipsed,21,normal,uncommon,1,110505,56dfdab1-ea3f-4663-a855-a9e72505f85e,0.13,false,false,near_mint,en,USD,2026-04-26T23:48:05.992Z
Main,binder,Mountain,J25,Foundations Jumpstart,90,normal,common,100,100927,a3a4da7d-a703-4f91-9ef7-ce269c0b63fb,0.18,false,false,near_mint,en,USD,2026-04-27T22:31:15.808Z
Main,binder,Forest,J25,Foundations Jumpstart,93,normal,common,100,100272,2581a074-00ab-4a2d-8699-25dcd8c76393,0.23,false,false,near_mint,en,USD,2026-04-27T22:33:33.922Z
Main,binder,Swamp,J25,Foundations Jumpstart,87,normal,common,100,100852,95e9b77a-2d94-4c3b-a43a-b3755f5e7d11,0.26,false,false,near_mint,en,USD,2026-04-27T22:34:35.666Z
Main,binder,Plains,J25,Foundations Jumpstart,81,normal,common,22,100929,a4446149-341b-449b-86e2-2b6b47b7a75e,0.21,false,false,near_mint,en,USD,2026-04-27T22:36:19.192Z
Main,binder,Island,J25,Foundations Jumpstart,84,normal,common,100,100221,1d8ff00f-62cc-4f71-b360-865ab2ac2599,0.23,false,false,near_mint,en,USD,2026-04-27T22:37:27.170Z
Main,binder,Gigantoad,FIN,Final Fantasy,187,foil,common,1,106642,bc10d648-4053-460f-bc52-9c20477bf6de,0.21,false,false,near_mint,en,USD,2026-04-27T23:12:47.158Z
Main,binder,"Exdeath, Void Warlock // Neo Exdeath, Dimension's End",FIN,Final Fantasy,220,normal,uncommon,2,106520,1b4bab87-4000-461d-8b58-d34928fee305,0.1,false,false,near_mint,en,USD,2026-04-27T23:12:47.159Z
Main,binder,Hope Estheim,FIN,Final Fantasy,226,normal,rare,1,106693,fbdb68cc-5516-481a-94c5-59f6c69b8a17,0.33,false,false,near_mint,en,USD,2026-04-27T23:12:47.160Z
Main,binder,Al Bhed Salvagers,FIN,Final Fantasy,88,normal,uncommon,1,106278,58ccdcfc-a669-480f-bded-4273cfaf2045,0.16,false,false,near_mint,en,USD,2026-04-27T23:12:47.161Z
Main,binder,Battle Menu,FIN,Final Fantasy,9,normal,uncommon,1,106523,240e1466-bd02-423d-b829-234dcd2bfab2,0.15,false,false,near_mint,en,USD,2026-04-27T23:12:47.162Z
Main,binder,The Prima Vista,FIN,Final Fantasy,64,normal,uncommon,1,106212,e3998132-5746-4dde-9529-97d3ad7d7361,0.07,false,false,near_mint,en,USD,2026-04-27T23:12:47.163Z
Main,binder,Fight On!,FIN,Final Fantasy,100,normal,common,2,106673,e1b0739a-dcc4-4034-96d7-69e551b2f36b,0.18,false,false,near_mint,en,USD,2026-04-27T23:12:47.164Z
Main,binder,Rook Turret,FIN,Final Fantasy,69,normal,common,3,106541,4572884d-0c0e-41e7-b219-f76b95fdbd01,0.15,false,false,near_mint,en,USD,2026-04-27T23:12:47.166Z
Main,binder,Malboro,FIN,Final Fantasy,106,normal,common,2,105739,e46d8048-03ce-4e07-ba24-f41ba6140a4e,0.15,false,false,near_mint,en,USD,2026-04-27T23:12:47.168Z
Main,binder,Bard's Bow,FIN,Final Fantasy,174,normal,common,2,106530,2ac03e90-1e16-453f-88e4-a0448db73403,0.08,false,false,near_mint,en,USD,2026-04-27T23:12:47.169Z
Main,binder,Suplex,FIN,Final Fantasy,164,normal,common,2,106376,f61693a2-7042-44e0-85ba-9bf12ab94e7e,0.23,false,false,near_mint,en,USD,2026-04-27T23:12:47.170Z
Main,binder,Blazing Bomb,FIN,Final Fantasy,130,foil,common,1,106573,70f47277-ca47-428a-808f-0fb32e820a71,0.13,false,false,near_mint,en,USD,2026-04-28T00:08:00.307Z
Main,binder,"Sharlayan, Nation of Scholars",FIN,Final Fantasy,288,normal,common,2,106579,7a745b5e-cdb8-4d05-ac5c-87be69536da6,0.16,false,false,near_mint,en,USD,2026-04-28T00:08:00.308Z
Main,binder,Reach the Horizon,FIN,Final Fantasy,195,normal,uncommon,1,106644,c25960e0-5779-4e20-89f3-03950ad9d91c,0.26,false,false,near_mint,en,USD,2026-04-28T00:08:00.313Z
Main,binder,Dark Knight's Greatsword,FIN,Final Fantasy,95,normal,uncommon,2,106634,b50dcc7c-260f-4d8c-9a9e-9244ec23a91e,0.2,false,false,near_mint,en,USD,2026-04-28T00:08:00.314Z
Main,binder,Vayne's Treachery,FIN,Final Fantasy,124,normal,common,3,106569,6de6d23b-7d42-41c1-be1c-010fe43ee586,0.08,false,false,near_mint,en,USD,2026-04-28T00:08:00.318Z
Main,binder,Blitzball Shot,FIN,Final Fantasy,176,normal,common,3,106417,ec8ab637-3d7d-4712-9f83-8920f808f715,0.15,false,false,near_mint,en,USD,2026-04-28T00:08:00.319Z
Main,binder,Haste Magic,FIN,Final Fantasy,140,normal,common,3,106402,3af9d100-70ee-4c6c-a762-11a0c4f3ef6f,0.22,false,false,near_mint,en,USD,2026-04-28T00:08:00.320Z
